timestamp, HR, acc_x, acc_y, acc_z
0805162543,89.0,-9.562,-0.980,3.2223
0805162543,89.0,-8.210,-1.120,2.5558
0805162544,89.0,-11.67,-2.084,2.5487
0805162545,89.0,-8.198,-1.130,3.3247
0805162546,89.0,-7.675,-1.187,3.0914
0805162547,89.0,-10.37,-3.584,4.3316
0805162548,89.0,-7.291,-1.027,2.4844
0805162549,89.0,-9.048,-1.027,3.5651
0805162550,89.0,-6.096,-1.910,2.3868
0805162551,89.0,-12.74,-2.696,3.2604
0805162552,89.0,-7.796,-1.527,2.8057
0805162552,89.0,-9.205,-0.982,3.0533
0805162553,89.0,-9.753,-1.968,3.4580
0805162554,89.0,-8.724,-1.084,2.6367
0805162555,88.0,-8.491,-0.527,4.4815
0805162556,88.0,-7.377,0.0504,4.1173
0805162557,88.0,-14.71,-1.694,3.4104
0805162558,88.0,-7.846,-0.885,3.0200
0805162559,82.0,-8.853,-1.046,3.0771
0805162600,82.0,-10.16,-1.137,3.1318
0805162601,81.0,-7.091,0.3551,2.8105
0805162601,81.0,-9.648,-0.563,3.5627
0805162602,81.0,-7.525,-0.725,3.0485
0805162603,81.0,-12.75,-1.165,3.7864
0805162604,81.0,-7.413,-0.963,3.0033
0805162605,81.0,-9.134,-0.606,3.1676
0805162606,80.0,-7.294,-0.575,2.6796
0805162607,80.0,-13.03,-0.704,3.6770
0805162608,80.0,-7.082,-0.923,2.7438
0805162609,80.0,-9.305,-0.670,3.1461
0805162610,80.0,-9.103,-0.992,2.8819
0805162610,80.0,-12.81,-1.649,3.7769
0805162611,80.0,-8.248,-0.613,3.5746
0805162612,80.0,-9.117,-0.735,3.4080
0805162613,80.0,-7.815,-1.187,2.5249
0805162614,80.0,-13.47,-2.079,2.9367
0805162615,80.0,-6.934,-0.658,3.1890
0805162616,80.0,0.1635,-4.460,0.1088
0805162617,79.0,2.8319,-8.437,2.0535
0805162618,79.0,1.4322,-10.34,-0.876
0805162619,79.0,1.1204,-5.688,-0.195
0805162619,79.0,-8.462,-1.794,2.9819
0805162620,79.0,-8.767,-1.206,3.2128
0805162621,79.0,-10.95,-2.003,3.0247
0805162622,79.0,-7.348,-0.965,1.5013
0805162623,79.0,-9.443,-1.337,2.7653
0805162624,79.0,-7.503,-1.156,4.3030
0805162625,79.0,-11.58,-1.389,3.8436
0805162626,79.0,-8.724,-1.106,3.6912
0805162627,79.0,-7.417,-0.949,3.1057
0805162628,79.0,-11.91,-2.584,2.6201
0805162629,79.0,-7.013,-1.180,2.7891
0805162629,78.0,-8.974,-1.527,2.9747
0805162630,78.0,-11.15,-2.325,2.6296
0805162631,78.0,-6.784,-1.237,2.4939
0805162632,79.0,-8.912,-1.213,2.8557
0805162633,79.0,-10.97,-1.980,3.1818
0805162634,78.0,-7.206,-1.123,2.5439
0805162635,76.0,-9.465,-1.246,2.9271
0805162636,77.0,-10.22,-2.094,2.2273
0805162637,79.0,-9.058,-1.408,2.4534
0805162638,80.0,-9.169,-1.237,3.5532
0805162638,79.0,-7.855,-1.787,2.2821
0805162639,79.0,-11.01,-2.365,2.2035
0805162640,80.0,-9.691,-2.094,3.1461
0805162641,80.0,-8.127,-1.065,2.8700
0805162642,80.0,-11.92,-1.575,3.2223
0805162643,80.0,-7.353,-1.154,3.4175
0805162644,80.0,-8.984,-1.008,4.0197
0805162645,80.0,-8.067,-1.987,2.2821
0805162646,80.0,-10.79,-2.251,2.0916
0805162647,80.0,-9.293,-1.506,3.5246
0805162647,80.0,-7.927,-1.420,2.7843
0805162648,80.0,-11.32,-2.427,2.4201
0805162649,80.0,-7.386,-1.242,2.4392
0805162650,80.0,-9.069,-1.311,3.1247
0805162651,80.0,-9.234,-2.051,2.3059
0805162652,80.0,-9.207,-2.544,2.1630
0805162653,80.0,-8.774,-1.192,3.3604
0805162654,80.0,-7.048,-1.596,2.3011
0805162655,80.0,-14.28,-2.408,2.2416
0805162656,79.0,-8.139,-1.218,3.0271
0805162656,79.0,-8.977,-1.277,3.2937
0805162657,79.0,-10.83,-1.930,2.8176
0805162658,79.0,-6.042,-0.927,2.7034
0805162659,79.0,-9.027,-1.094,3.5317
0805162700,79.0,-7.655,-1.149,2.9676
0805162701,79.0,-11.95,-2.327,2.7105
0805162702,79.0,-6.610,-0.820,2.5986
0805162703,79.0,-9.015,-1.011,2.9652
0805162704,79.0,-7.018,-1.168,2.3868
0805162705,79.0,-13.53,-2.027,3.3627
0805162705,79.0,-7.753,-4.046,-1.405
0805162706,79.0,-9.519,-1.663,2.7772
0805162707,79.0,-10.26,-1.713,2.2868
0805162708,79.0,-8.122,-0.682,2.8414
0805162709,79.0,-8.660,0.0075,4.0602
0805162710,79.0,-7.924,-1.330,2.5272
0805162711,79.0,-11.79,-3.236,2.5510
0805162712,79.0,-6.544,-1.151,2.5463
0805162713,79.0,-9.041,-1.242,3.1152
0805162714,78.0,-8.177,-1.134,1.8893
0805162715,78.0,-8.798,-1.889,1.7703
0805162715,78.0,-10.61,-1.503,2.4749
0805162716,78.0,-8.881,-2.456,3.1580
0805162717,78.0,-7.913,-1.127,2.8867
0805162718,78.0,-12.86,-2.065,2.9557
0805162719,78.0,-7.225,-0.820,2.6748
0805162720,78.0,-9.396,-0.699,4.0483
0805162721,78.0,-10.55,-1.277,3.5270
0805162722,78.0,-8.731,-1.339,2.8581
0805162723,78.0,-8.629,-1.265,4.1887
0805162724,78.0,-9.157,-2.227,2.0512
0805162724,78.0,-10.28,-1.770,2.9676
0805162725,78.0,-7.798,-2.058,3.8103
0805162726,78.0,-9.936,-3.243,1.5156
0805162727,78.0,-8.101,-4.584,2.3344
0805162728,78.0,-13.22,-0.366,-3.435
0805162729,78.0,-2.600,-10.42,3.0819
0805162730,78.0,-8.412,-4.600,5.0385
0805162731,78.0,-8.010,-2.629,2.1916
0805162732,77.0,-9.519,-1.201,0.0374
0805162733,77.0,-4.497,-3.034,6.8905
0805162733,77.0,-9.519,0.0671,0.1469
0805162734,77.0,-9.077,-0.708,-0.657
0805162735,69.0,-7.120,-4.000,5.2242
0805162736,67.0,-9.555,-4.631,1.3513
0805162737,62.0,-9.117,-1.770,1.4989
0805162738,59.0,-7.805,-6.369,5.1076
0805162739,58.0,-5.761,-4.112,5.2432
0805162740,58.0,-8.539,-1.299,3.0200
0805162741,58.0,-7.732,-4.753,1.4799
0805162742,58.0,-5.665,-5.086,6.9738
0805162742,59.0,-7.084,-1.073,2.4439
0805162743,59.0,-10.37,-0.477,1.7131
0805162744,59.0,-8.036,-4.238,3.8174
0805162745,59.0,-9.500,-1.622,0.6824
0805162746,59.0,-9.362,-1.096,2.8391
0805162747,59.0,-10.61,-0.782,2.1511
0805162748,59.0,-8.860,-2.932,4.4530
0805162749,59.0,-9.581,-0.720,2.1987
0805162750,59.0,-9.350,-1.351,2.9224
0805162751,59.0,-10.41,-1.161,1.5299
0805162751,59.0,-9.229,-1.741,1.9655
0805162752,58.0,-8.808,-0.401,1.5346
0805162753,58.0,-7.867,-0.304,1.7679
0805162754,58.0,-3.816,1.6262,6.4334
0805162755,58.0,-9.262,-1.960,3.1080
0805162756,58.0,-6.046,-0.354,1.7655
0805162757,58.0,-9.576,-0.442,1.8488
0805162758,59.0,-7.763,-4.208,4.6148
0805162759,59.0,-10.96,1.2239,1.6108
0805162800,59.0,-9.307,-0.601,3.0557
0805162801,59.0,-10.60,-1.313,2.4463
0805162801,60.0,-9.155,-2.448,4.4172
0805162802,60.0,-9.800,-0.549,1.0728
0805162803,60.0,-10.82,0.7502,0.2111
0805162804,60.0,-9.534,-1.446,2.3035
0805162805,60.0,-9.743,-3.115,1.5965
0805162806,60.0,-8.401,-2.984,3.8936
0805162807,60.0,-10.39,-1.144,1.2490
0805162808,60.0,-8.705,-2.725,3.7269
0805162809,60.0,-10.39,-1.749,1.9845
0805162810,60.0,-8.431,-3.917,3.4889
0805162810,60.0,-12.45,3.0021,-0.817
0805162811,60.0,-7.410,0.0528,1.7369
0805162812,60.0,-11.54,-1.799,0.9371
0805162813,60.0,-3.749,-8.740,4.4196
0805162814,60.0,-6.499,-6.814,5.9240
0805162815,60.0,-9.346,-0.789,0.8253
0805162816,60.0,-8.915,-1.430,2.2154
0805162817,59.0,-10.96,-2.813,3.3437
0805162818,58.0,-8.455,-1.701,3.4175
0805162819,58.0,-9.277,-0.416,1.9988
0805162819,58.0,-8.665,-1.589,2.8272
0805162820,58.0,-10.64,-0.782,4.3292
0805162821,58.0,-8.234,-3.412,4.9838
0805162822,58.0,-9.895,-0.487,1.9607
0805162823,58.0,-9.553,-2.025,4.6696
0805162824,58.0,-9.729,-0.213,3.7388
0805162825,58.0,-9.453,-5.921,2.5748
0805162826,58.0,-9.926,1.6571,-0.317
0805162827,58.0,-10.09,-0.568,-0.010
0805162828,58.0,-10.56,-0.292,1.3442
0805162828,58.0,-9.207,-2.327,5.0385
0805162829,58.0,-9.619,1.2430,-0.233
0805162830,58.0,-9.196,-1.611,2.7438
0805162831,58.0,-7.960,-0.078,1.8464
0805162832,58.0,-7.101,-1.875,2.5963
0805162833,58.0,-11.46,0.8478,3.0914
0805162834,58.0,-7.667,0.0647,2.2821
0805162835,58.0,-9.217,-1.468,2.6701
0805162836,58.0,-8.443,-0.497,1.9131
0805162837,56.0,-10.54,-1.294,2.8224
0805162837,56.0,-8.819,-2.134,3.7888
0805162838,56.0,-10.26,0.8502,1.2299
0805162839,56.0,-8.458,-2.665,3.4127
0805162840,56.0,-7.134,-0.551,1.7703
0805162841,56.0,-9.964,-0.839,2.4487
0805162842,56.0,-8.893,-1.234,3.5794
0805162843,56.0,-9.988,0.0480,1.4227
0805162844,56.0,-8.746,-0.923,1.3942
0805162845,56.0,-10.72,-1.801,0.9895
0805162846,56.0,-8.819,-0.880,4.0292
0805162846,56.0,-8.667,0.3337,1.8798
0805162847,56.0,-9.688,-0.518,1.6703
0805162848,56.0,-7.929,0.5836,3.3675
0805162849,56.0,-8.917,-1.189,2.5653
0805162850,57.0,-9.248,-0.394,2.9057
0805162851,58.0,-6.937,0.0885,3.1223
0805162852,60.0,-8.750,-1.563,4.0650
0805162853,60.0,-8.774,-1.420,4.2411
0805162854,61.0,-8.774,-1.420,4.2411
0805162855,61.0,-8.496,1.0287,2.9271
0805162856,61.0,-5.689,-1.546,4.7529
0805162856,61.0,-11.80,0.9311,2.9724
0805162857,61.0,-8.722,0.8121,2.2987
0805162858,61.0,-6.791,0.8692,1.4394
0805162859,61.0,-10.26,-0.792,3.8412
0805162900,61.0,-9.365,0.2718,4.0150
0805162901,61.0,-6.858,0.2123,2.0488
0805162902,61.0,-8.458,-1.144,2.3916
0805162903,61.0,-10.91,-3.972,0.4754
0805162904,61.0,-9.943,-1.982,3.0795
0805162905,61.0,-8.931,-0.551,2.2035
0805162905,61.0,-9.398,-1.292,3.2009
0805162906,61.0,-9.555,-0.159,1.7441
0805162907,61.0,-6.680,-1.018,6.2525
0805162908,61.0,-12.46,2.1166,-0.150
0805162909,61.0,-9.691,-1.782,4.3720
0805162910,62.0,-8.201,0.1599,2.6343
0805162911,62.0,-10.67,-0.259,2.5034
0805162912,62.0,-9.741,-0.301,5.2861
0805162913,61.0,-5.446,0.2551,2.1011
0805162914,61.0,-9.434,0.0837,3.4603
0805162914,61.0,-10.22,4.5776,1.1133
0805162915,62.0,-8.384,-1.265,3.2152
0805162916,64.0,-13.96,0.7645,-0.967
0805162917,64.0,-9.036,1.5000,-0.098
0805162918,65.0,-5.158,3.0449,-7.515
0805162919,65.0,-8.384,0.8074,1.7417
0805162920,64.0,-4.787,-2.646,4.5196
0805162921,67.0,-11.13,0.1480,3.3366
0805162922,70.0,-7.139,-0.835,2.9081
0805162923,70.0,-10.06,-0.201,3.0462
0805162923,70.0,-12.15,-0.044,2.7938
0805162924,70.0,-8.860,-1.106,4.2697
0805162925,71.0,-7.991,0.2313,1.4204
0805162926,71.0,-8.717,-0.135,2.1083
0805162927,71.0,-12.59,-1.023,3.2342
0805162928,71.0,-11.29,0.9692,3.4008
0805162929,71.0,-7.632,-0.404,2.5320
0805162930,71.0,-9.286,-0.987,3.0676
0805162931,71.0,-10.91,-0.430,0.0017
0805162932,71.0,-8.717,-1.846,4.5125
0805162932,71.0,-13.09,1.1454,-0.076
0805162933,71.0,-8.522,-0.961,1.8464
0805162934,71.0,-8.777,-1.094,2.1749
0805162935,71.0,-11.13,-0.654,3.1509
0805162936,71.0,-10.29,-0.487,3.7507
0805162937,71.0,-7.477,-0.356,3.1533
0805162938,71.0,-9.008,-1.282,2.4868
0805162939,71.0,-8.570,-3.872,0.7253
0805162940,71.0,-9.241,-0.151,4.5863
0805162941,71.0,-9.429,-0.466,2.7867
0805162942,71.0,-9.315,-0.649,3.6412
0805162942,71.0,-8.217,-0.089,2.0155
0805162943,71.0,-7.025,-0.737,3.9340
0805162944,71.0,-14.05,2.0547,0.2349
0805162945,71.0,-7.832,-2.122,2.5487
0805162946,71.0,-8.386,-0.382,2.8367
0805162947,72.0,-11.23,-0.923,2.7819
0805162948,72.0,-11.00,0.3503,2.7843
0805162949,72.0,-7.460,-0.458,1.7774
0805162950,72.0,-8.872,-1.394,2.1654
0805162951,72.0,-10.77,-0.923,2.6677
0805162951,72.0,-10.19,-2.156,3.1509
0805162952,72.0,-8.531,-0.013,2.4487
0805162953,72.0,-9.426,-2.063,4.3887
0805162954,72.0,1.4060,0.1051,8.6138
0805162955,72.0,1.1466,5.4562,7.3880
0805162956,73.0,0.0159,5.8894,7.4189
